week_nmb,Unique_Pdt_Identifier_Mainpdt,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating
-90,B0007YX26S,0,1,0,0,0,1,2
-87,B0007YX26S,0,0,0,0,1,1,5
-85,B0007YX26S,0,0,0,0,1,1,5
-83,B0007YX26S,1,0,0,0,1,2,3
-78,B0007YX26S,0,0,0,0,1,1,5
-61,B0007YX26S,1,0,0,0,0,1,1
-60,B0007YX26S,0,0,0,0,2,2,5
-59,B0007YX26S,0,0,0,0,1,1,5
-56,B0007YX26S,0,0,0,1,0,1,4
-54,B0007YX26S,0,0,0,0,1,1,5
-50,B0007YX26S,0,0,0,0,1,1,5
-48,B0007YX26S,0,0,0,0,1,1,5
-47,B0007YX26S,0,0,0,1,0,1,4
-39,B0007YX26S,0,0,0,1,0,1,4
-34,B0007YX26S,1,0,0,0,0,1,1
-15,B0007YX26S,0,0,1,0,1,2,4
-11,B0007YX26S,1,0,0,0,0,1,1
-10,B0007YX26S,0,1,0,0,0,1,2
-2,B0007YX26S,0,0,0,1,1,2,4.5
1,B0007YX26S,0,0,2,0,0,2,3
2,B0007YX26S,0,0,0,0,1,1,5
4,B0007YX26S,0,0,0,1,0,1,4
5,B0007YX26S,0,0,1,0,1,2,4
6,B0007YX26S,0,0,0,1,1,2,4.5
7,B0007YX26S,0,0,0,0,1,1,5
9,B0007YX26S,0,0,1,0,0,1,3
10,B0007YX26S,0,0,0,0,1,1,5
11,B0007YX26S,0,0,0,1,1,2,4.5
13,B0007YX26S,0,0,0,3,0,3,4
14,B0007YX26S,0,0,0,1,0,1,4
15,B0007YX26S,0,0,1,1,1,3,4
16,B0007YX26S,0,1,0,1,3,5,4.2
17,B0007YX26S,0,0,0,0,2,2,5
18,B0007YX26S,0,0,1,0,1,2,4
19,B0007YX26S,0,0,0,0,1,1,5
20,B0007YX26S,0,0,1,0,1,2,4
21,B0007YX26S,0,2,0,0,0,2,2
22,B0007YX26S,0,0,0,1,1,2,4.5
