Extraction_Date,ord_week_nmb,Site_Name,TCIN,amazon_product_ID,amazon_product_name,amazon_Regular_price,Regular_Price_Range,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo
03-12-2012,1,Amazon,11458138,B002ONBSYS,Leatherbay Women'S Flip Top Sleek Wallet,56.37,n/a,0,0,56.37,56.37,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $23.58 (29%)
03-12-2012,1,Amazon,11469412,B0043YLSPK,"McKlein USA Walton Leather 17"" Expandable Laptop Case",124.79,n/a,0,0,124.79,124.79,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $197.71 (61%)
03-12-2012,1,Amazon,11470750,B000GHGFX8,"McKlein USA Chicago Leather Wheeled 17"" Laptop Case",181.85,n/a,0,0,181.85,181.85,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $298.15 (62%)
03-12-2012,1,Amazon,11470751,B002MXVEOO,"McKlein USA Sheridan Leather Wheeled 17"" Laptop Catalog Case",173.56,n/a,0,0,173.56,173.56,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $283.94 (62%)
03-12-2012,1,Amazon,11470752,B002ABZ1RO,"McKlein USA Bucktown Leather 17"" Laptop Case",116.18,n/a,0,0,116.18,116.18,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $183.82 (61%)
03-12-2012,1,Amazon,11470965,B000GHGFXS,"McKlein USA Pearson Leather Expandable 15.4"" Laptop Briefcase",110.76,n/a,0,0,110.76,110.76,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $174.24 (61%)
03-12-2012,1,Amazon,11721787,B000PCTX74,McKlein USA W Series Winnetka Leather Women's Briefcase,115.58,n/a,0,0,115.58,115.58,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $154.42 (57%)
03-12-2012,1,Amazon,11721791,B000PCOBS0,McKlein USA W Series Winnetka Leather Women's Briefcase,121.66,n/a,0,0,121.66,121.66,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $148.34 (55%)
03-12-2012,1,Amazon,11721793,B0041XLNLW,"McKlein USA Pearson Leather Expandable 15.4"" Laptop Briefcase",110.76,n/a,0,0,110.76,110.76,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $174.24 (61%)
03-12-2012,1,Amazon,11721794,B000PCOBRG,McKlein USA W Series Winnetka Leather Women's Briefcase,116.18,n/a,0,0,116.18,116.18,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $153.82 (57%)
