Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
18598656 - Nike Boys Jr. Hypervenom Phelon FG Low Soccer Cleats,18598656,Cleats,0,0,1,2,37
18598696 - Nike Mens Hypervenom Phantom FG Low Soccer Cleats,18598696,Cleats,0,0,1,0,28
18867926 - adidas Mens Predator Absolion LZ TRX FG Low Soccer Cleats,18867926,Cleats,3,2,3,0,5
21436456 - NIKE Boys Huarache Strike Mid MCS Baseball Cleats - Grade School,21436456,Cleats,1,1,0,0,115
21436486 - Nike Mens Huarache Strike Mid MCS Baseball Cleats,21436486,Cleats,2,4,1,1,45
21468086 - NIKE Mens Huarache Strike Low Baseball Cleats,21468086,Cleats,2,2,0,0,48
21468096 - NIKE Mens Huarache Pro Mid Baseball Cleats,21468096,Cleats,3,0,0,4,348
21977146 - WARRIOR Mens Burn 7.0 Mid Lacrosse Cleats,21977146,Cleats,2,2,0,3,30
22243006 - NIKE Mens Huarache 4 Mid Lacrosse Cleats,22243006,Cleats,4,1,2,6,28
22243016 - NIKE Boys Speedlax 4 Lacrosse Cleats - Grade School,22243016,Cleats,0,0,0,1,10
22852206 - NIKE Mens Zoom Rival S 7 Track Shoes,22852206,Cleats,1,0,1,3,72
22876436 - NIKE Mens Zoom Rival MD 7 Track Shoes,22876436,Cleats,0,0,0,1,77
22946886 - Nike Mens Hypervenom Phade FG Soccer Cleats,22946886,Cleats,1,7,1,1,251
22946916 - NIKE Womens Zoom Rival S 7 Track Shoes,22946916,Cleats,0,0,3,4,324
22946966 - NIKE Mens Tiempo Rio II FG Low Soccer Cleats,22946966,Cleats,2,3,1,1,139
22993666 - NIKE Mens Speedlax 4 Mid Lacrosse Cleats,22993666,Cleats,2,0,0,0,102
23154736 - adidas Mens F30 TRX FG Low Soccer Cleats,23154736,Cleats,2,0,0,4,17
23154766 - adidas Mens F10 TRX FG Low Soccer Cleats,23154766,Cleats,4,3,4,2,4
23154856 - adidas Womens F5 TRX FG Low Soccer Cleats,23154856,Cleats,0,0,1,3,24
